Input Recipe,Recommended Recipes
tomato rice,"Spicy Tomato Rice - Tomato Pulihora Recipe, Gourd Peel Chutney Recipe - Bottle Gourd Peel Chutney Recipe,  Sweet Potato And Bitter Gourd Kulambu (Recipe In Hindi), Watermelon Seeds Rice Recipe, Vepampoo Kara Colomb Recipe - Vepampoo Kara Kuzhambu Recipe"
masala karela,"Crispy Vegetable Recipe - Crispy Bhujia, Besan vegetable recipe, Bitter Gourd Peel Puri Recipe, Bihari Bitter Gourd Potato Vegetable Recipe, Bitter Gourd Chips Recipe"
potato gravy,"Bengali Style Kanch kolar Kofta Curry Recipe (Green Plantain Kofta Curry Recipe), Labra Assamese Chunky Mix Vegetables Recipe, Kashmiri Style Tamatar Chaman Recipe -Paneer Cooked With Tomatoes, Bengali Egg Curry Recipe, Chettinad Mint Potato Biryani Recipe"
butter,"Rice Recipe - Steamed Rice Recipe, Mullu Murukku Recipe - Chakli Recipe - South Indian Snack, Rajasthani Ghevar Recipe, Homemade Mysore Pak Recipe | Traditional Recipe Made With Ghee, Salted Caramel Ice Cream Recipe With Salted Roasted Almonds"
egg ,"Alasande Kalu Saaru Recipe (Malnad Style Black Eyed Beans Curry), Masoor Dal Makhni Recipe, Bengali Aloo Dum Recipe, Karnataka Steel Awarekalu Pulao Recipe - Awarekalu Pulao, Masala Couscous Pulao Recipe"
dal makhni,"Roasted Onion Gosht Recipe - Mutton Curry with Roasted Onion & Spices, Masoor Moong Phali Ki Dal Recipe (Masoor Dal With Peanuts Recipe), Easy Potato Kurma Recipe, Tofu Masala Rice Recipe (Tofu Pulao), Bengali Kosha Mangsho Recipe-Slow Cooked Mutton Curry"
mutton curry,"Himachali Style Pahari Aloo Palda Recipe - Potatoes In Yogurt Gravy, Roasted Onion Gosht Recipe - Mutton Curry with Roasted Onion & Spices, Himachali Pahari Mutton Recipe, Bengali Kosha Mangsho Recipe-Slow Cooked Mutton Curry, Rajasthani Laal Maas Recipe-Mutton In Red Spicy Gravy"
aloo,"Andhra Style Bangaladumpa Vepudu Recipe - Potato Fry Recipe, Onion Kachori Recipe, Chettinad Paruppu Urundai Kuzhambu (Steamed Lentil Balls Cooked in a Tangy Curry) Recipe, Greek Style Bourekia Recipe (Potato and Leek Puffs Recipe), Uttarakhand Aloo Ke Gutke Recipe"
potato gravy,"Bengali Style Kanch kolar Kofta Curry Recipe (Green Plantain Kofta Curry Recipe), Labra Assamese Chunky Mix Vegetables Recipe, Kashmiri Style Tamatar Chaman Recipe -Paneer Cooked With Tomatoes, Bengali Egg Curry Recipe, Chettinad Mint Potato Biryani Recipe"
pudina khara pongal,"Pudina Khara Pongal Recipe - Pudina Khara Pongal Recipe, Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi, Karuvepillai Pachadi Recipe - Curry Leaf Raita, Methi Chaman Recipe -Paneer In Dark Leafy Greens Based Gravy, Gajar Methi Sabzi Recipe (Carrot Fenugreek Leaves Stir Fry)"
pudina khara pongal,"Pudina Khara Pongal Recipe - Pudina Khara Pongal Recipe, Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi, Karuvepillai Pachadi Recipe - Curry Leaf Raita, Methi Chaman Recipe -Paneer In Dark Leafy Greens Based Gravy, Gajar Methi Sabzi Recipe (Carrot Fenugreek Leaves Stir Fry)"
pudina,"Pudina Khara Pongal Recipe - Pudina Khara Pongal Recipe, Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi, Karuvepillai Pachadi Recipe - Curry Leaf Raita, Methi Chaman Recipe -Paneer In Dark Leafy Greens Based Gravy, Gajar Methi Sabzi Recipe (Carrot Fenugreek Leaves Stir Fry)"
pongal,"Pudina Khara Pongal Recipe - Pudina Khara Pongal Recipe, Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi, Karuvepillai Pachadi Recipe - Curry Leaf Raita, Methi Chaman Recipe -Paneer In Dark Leafy Greens Based Gravy, Gajar Methi Sabzi Recipe (Carrot Fenugreek Leaves Stir Fry)"
gongura chicken,"Chicken Xacuti Recipe - Goan Chicken Gravy, Khatta Meetha Tamatar Sabzi Recipe - A Chutney Style Dry Sabzi, Safed Achari Baingan Recipe - White Aubergine in pickled spices, Goan Prawns Vindaloo Recipe, North Indian Style Green Raw Papaya Curry Recipe"
masala karela,"Crispy Vegetable Recipe - Crispy Bhujia, Besan vegetable recipe, Bitter Gourd Peel Puri Recipe, Bihari Bitter Gourd Potato Vegetable Recipe, Bitter Gourd Chips Recipe"
egg,"Alasande Kalu Saaru Recipe (Malnad Style Black Eyed Beans Curry), Masoor Dal Makhni Recipe, Bengali Aloo Dum Recipe, Karnataka Steel Awarekalu Pulao Recipe - Awarekalu Pulao, Masala Couscous Pulao Recipe"
